name,artist,album,duration_ms,popularity,played_at
When You Were Young,The Killers,Sam's Town,220426,74,2023-01-31 21:35:34
No You Girls,Franz Ferdinand,Tonight,223786,59,2023-01-31 20:41:55
Breezeblocks,alt-J,An Awesome Wave,227080,70,2023-01-31 20:38:11
Just A Dream,Nelly,5.0,237800,72,2023-01-31 20:34:23
Cold Cold Cold,Cage The Elephant,Tell Me I'm Pretty,214386,66,2023-01-31 20:30:25
All The Small Things,blink-182,Enema Of The State,167066,78,2023-01-31 20:26:50
Snow (Hey Oh),Red Hot Chili Peppers,Stadium Arcadium,334666,77,2023-01-31 20:23:45
One Headlight,The Wallflowers,Bringing Down The Horse,312626,69,2023-01-31 20:18:10
Heart In a Cage,The Strokes,First Impressions Of Earth,206173,60,2023-01-31 20:12:58
We Are The Champions,Queen,News Of The World,181533,47,2023-01-31 20:09:21
my strange addiction,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",179889,71,2023-01-31 20:06:11
Stereo Love - Original,Edward Maya,Stereo Love,247853,62,2023-01-31 19:45:19
Electric Feel,MGMT,Oracular Spectacular,229640,74,2023-01-31 19:10:24
Come & Get It,Selena Gomez,Stars Dance (Bonus Track Version),231986,68,2023-01-31 19:00:16
Homemade Dynamite,Lorde,Melodrama,189796,59,2023-01-31 18:56:15
Alors on danse - Radio Edit,Stromae,Cheese,206066,76,2023-01-31 18:52:09
The Hills,The Weeknd,Beauty Behind The Madness,242253,85,2023-01-31 18:47:28
Havana (feat. Young Thug),Camila Cabello,Camila,217306,77,2023-01-31 18:41:36
Locked Away (feat. Adam Levine),R. City,What Dreams Are Made Of,227480,76,2023-01-31 18:31:31
Locked Away (feat. Adam Levine),R. City,What Dreams Are Made Of,227480,76,2023-01-31 08:14:40
Locked Away (feat. Adam Levine),R. City,What Dreams Are Made Of,227480,76,2023-01-30 23:00:12
Are You With Me - Radio Edit,Lost Frequencies,Are You With Me (Radio Edit),138842,40,2023-01-30 22:48:18
Meet Me Halfway,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [International Version],284373,60,2023-01-30 22:45:59
Walking The Wire,Imagine Dragons,Evolve,232906,66,2023-01-30 22:41:13
Éxtasis,Millonario & W. Corona,Así Soy Yo,289013,71,2023-01-30 22:35:32
Stay With Me,1nonly,Stay With Me,141505,76,2023-01-30 22:29:55
My Head (Can’t Get You Out),Alok,My Head (Can’t Get You Out),199153,43,2023-01-30 21:23:18
Freaks,Surf Curse,Freaks,147062,83,2023-01-30 20:45:21
Panini,Lil Nas X,Panini,114893,68,2023-01-30 20:42:53
Calm Down,Rema,Rave & Roses,219668,78,2023-01-30 20:40:59
DÁKITI,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,205090,77,2023-01-30 20:35:59
"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2",Diplo,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) [from Deadpool 2]",181720,63,2023-01-30 20:32:34
Devil Eyes,Hippie Sabotage,Providence,131271,75,2023-01-30 18:34:32
edamame (feat. Rich Brian),bbno$,eat ya veggies,133706,68,2023-01-30 18:13:34
Arre,Simpson Ahuevo,Arre,168032,58,2023-01-30 18:11:20
Close Eyes,DVRST,Close Eyes,132346,80,2023-01-30 18:08:32
Toxic,BoyWithUke,Serotonin Dreams,168066,74,2023-01-30 18:06:18
STAY (with Justin Bieber),The Kid LAROI,F*CK LOVE 3+: OVER YOU,141805,75,2023-01-30 18:03:11
World Is Spinning,DMAD,World Is Spinning,130168,59,2023-01-30 18:00:44
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),210575,86,2023-01-30 17:58:26
"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",Flo Rida,My House,224258,64,2023-01-30 17:53:31
What the Hell,Avril Lavigne,Goodbye Lullaby (Expanded Edition),220706,71,2023-01-30 17:49:46
I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [International Version],289133,63,2023-01-30 17:37:12
Wasted,Tiësto,A Town Called Paradise (Deluxe),190013,59,2023-01-30 17:32:23
Raging (feat. Kodaline),Kygo,Raging (feat. Kodaline),224486,57,2023-01-30 17:26:35
Ride,Twenty One Pilots,Blurryface,214506,79,2023-01-30 17:19:04
Stressed Out,Twenty One Pilots,Blurryface,202333,82,2023-01-30 17:15:29
Walk,Foo Fighters,Wasting Light,255960,67,2023-01-30 17:10:26
Bleeding Out,Imagine Dragons,Night Visions (Deluxe),221053,46,2023-01-30 16:58:11
Rise Up,Imagine Dragons,Evolve,231720,65,2023-01-30 16:54:30
My Happy Ending,Avril Lavigne,Under My Skin,242413,66,2023-02-01 05:36:50
Feel Good Inc.,Gorillaz,Demon Days,222640,81,2023-02-01 05:32:47
Stitches,Shawn Mendes,Handwritten,206880,73,2023-02-01 05:21:34
Chelsea Dagger,The Fratellis,Costello Music,215306,44,2023-02-01 05:18:06
We Like to Party - Original Mix,Showtek,We Like to Party,280990,50,2023-02-01 05:14:31
"Sweet Dreams, TN",The Last Shadow Puppets,Everything You've Come To Expect (Deluxe Edition),236252,63,2023-02-01 05:09:37
When You Were Young,The Killers,Sam's Town,220426,74,2023-02-01 03:03:41
Warriors,Imagine Dragons,Smoke + Mirrors (Deluxe),171040,71,2023-02-01 16:19:13
Radioactive,Imagine Dragons,Radioactive,276040,62,2023-02-01 16:16:22
For Reasons Unknown,The Killers,Sam's Town,212266,59,2023-02-01 16:11:45
Boulevard of Broken Dreams,Green Day,Boulevard of Broken Dreams,261266,71,2023-02-01 05:47:21
